"Appendix B. Developmental Education Coursetaking** by District, School and Year of High School Graduation",,,,,,,,The data used for Getting Prepared analyzed college enrollment data for high school students based on the student’s “Status End” code at a given point in time and is not comparable to graduation rate cohort data commonly used by the Minnesota Department of Education (MDE).,,,
,,,,,Enrolled within 2 Years of Graduation,,,Enrolled in Developmental Education within 2 Years,,,
South Washington County School Dist,SOUTH WASHINGTON ALTERNATIVE HIGH SCHOOL,0833-01-023,2008,43,16,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SOUTH WASHINGTON ALTERNATIVE HIGH SCHOOL,0833-01-023,2009,41,17,13,,fewer than 10,,,
South Washington County School Dist,SOUTH WASHINGTON ALTERNATIVE HIGH SCHOOL,0833-01-023,2010,51,17,13,,10,20%,77%,
South Washington County School Dist,SOUTH WASHINGTON ALTERNATIVE HIGH SCHOOL,0833-01-023,2011,29,11,fewer than 10,,fewer than 10,,,
South Washington County School Dist,SOUTH WASHINGTON ALTERNATIVE HIGH SCHOOL,0833-01-023,2012,28,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,TRANSITIONS,0833-01-056,2009,14,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,TRANSITIONS,0833-01-056,2010,17,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,TRANSITIONS,0833-01-056,2011,16,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,TRANSITIONS,0833-01-056,2012,13,fewer than 10,fewer than 10,,fewer than 10,,,
South Washington County School Dist,WOODBURY SENIOR HIGH,0833-01-029,2006,554,490,322,,92,17%,29%,
South Washington County School Dist,WOODBURY SENIOR HIGH,0833-01-029,2007,562,495,331,,60,11%,18%,
South Washington County School Dist,WOODBURY SENIOR HIGH,0833-01-029,2008,585,514,315,,81,14%,26%,
South Washington County School Dist,WOODBURY SENIOR HIGH,0833-01-029,2009,587,529,348,,85,14%,24%,
South Washington County School Dist,WOODBURY SENIOR HIGH,0833-01-029,2010,584,518,336,,92,16%,27%,
South Washington County School Dist,WOODBURY SENIOR HIGH,0833-01-029,2011,419,384,227,,66,16%,29%,
South Washington County School Dist,WOODBURY SENIOR HIGH,0833-01-029,2012,407,376,243,,45,11%,19%,
Southland Public School District,SOUTHLAND SENIOR HIGH,0500-01-040,2006,52,43,33,,13,25%,39%,
Southland Public School District,SOUTHLAND SENIOR HIGH,0500-01-040,2007,60,53,42,,14,23%,33%,
Southland Public School District,SOUTHLAND SENIOR HIGH,0500-01-040,2008,49,39,28,,11,22%,39%,
Southland Public School District,SOUTHLAND SENIOR HIGH,0500-01-040,2009,41,38,25,,fewer than 10,,,
Southland Public School District,SOUTHLAND SENIOR HIGH,0500-01-040,2010,73,65,54,,18,25%,33%,
Southland Public School District,SOUTHLAND SENIOR HIGH,0500-01-040,2011,52,43,33,,12,23%,36%,
Southland Public School District,SOUTHLAND SENIOR HIGH,0500-01-040,2012,68,51,32,,fewer than 10,,,
Southwest Metro Educational Coop,SCOTT ALC,0930-53-863,2006,12,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,SCOTT ALC,0930-53-863,2007,22,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,SCOTT ALC,0930-53-863,2008,19,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,SCOTT ALC,0930-53-863,2009,16,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,SCOTT ALC,0930-53-863,2010,11,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,SCOTT ALC,0930-53-863,2011,11,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,SCOTT ALC,0930-53-863,2012,10,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,TRANSITION PROGRAM 18 TO 21,0930-53-031,2009,16,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,TRANSITION PROGRAM 18 TO 21,0930-53-031,2010,25,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,TRANSITION PROGRAM 18 TO 21,0930-53-031,2011,14,fewer than 10,fewer than 10,,fewer than 10,,,
Southwest Metro Educational Coop,TRANSITION PROGRAM 18 TO 21,0930-53-031,2012,12,fewer than 10,fewer than 10,,fewer than 10,,,
Spectrum High School,SPECTRUM HIGH SCHOOL,4160-07-010,2009,28,23,17,,fewer than 10,,,
Spectrum High School,SPECTRUM HIGH SCHOOL,4160-07-010,2010,31,22,19,,fewer than 10,,,
Spectrum High School,SPECTRUM HIGH SCHOOL,4160-07-010,2011,61,47,36,,fewer than 10,,,
Spectrum High School,SPECTRUM HIGH SCHOOL,4160-07-010,2012,53,41,33,,fewer than 10,,,
Spring Grove School District,SPRING GROVE SECONDARY,0297-01-020,2006,29,22,12,,fewer than 10,,,
Spring Grove School District,SPRING GROVE SECONDARY,0297-01-020,2007,28,18,fewer than 10,,fewer than 10,,,
Spring Grove School District,SPRING GROVE SECONDARY,0297-01-020,2008,22,16,fewer than 10,,fewer than 10,,,
Spring Grove School District,SPRING GROVE SECONDARY,0297-01-020,2009,34,24,15,,fewer than 10,,,
Spring Grove School District,SPRING GROVE SECONDARY,0297-01-020,2010,36,29,13,,fewer than 10,,,
Spring Grove School District,SPRING GROVE SECONDARY,0297-01-020,2011,27,19,10,,fewer than 10,,,
Spring Grove School District,SPRING GROVE SECONDARY,0297-01-020,2012,25,19,fewer than 10,,fewer than 10,,,
Spring Lake Park Public Schools,LEARNING ALTERNATIVES COMMUNITY SCH,0016-01-777,2006,37,17,17,,fewer than 10,,,
Spring Lake Park Public Schools,LEARNING ALTERNATIVES COMMUNITY SCH,0016-01-777,2007,49,15,12,,fewer than 10,,,
Spring Lake Park Public Schools,LEARNING ALTERNATIVES COMMUNITY SCH,0016-01-777,2008,54,21,18,,10,19%,56%,
Spring Lake Park Public Schools,LEARNING ALTERNATIVES COMMUNITY SCH,0016-01-777,2009,63,22,18,,10,16%,56%,
Spring Lake Park Public Schools,LEARNING ALTERNATIVES COMMUNITY SCH,0016-01-777,2010,51,22,13,,fewer than 10,,,
Spring Lake Park Public Schools,LEARNING ALTERNATIVES COMMUNITY SCH,0016-01-777,2011,42,11,fewer than 10,,fewer than 10,,,
Spring Lake Park Public Schools,LEARNING ALTERNATIVES COMMUNITY SCH,0016-01-777,2012,43,16,12,,fewer than 10,,,
Spring Lake Park Public Schools,SPRING LAKE PARK SENIOR HIGH,0016-01-045,2006,259,208,159,,47,18%,30%,
Spring Lake Park Public Schools,SPRING LAKE PARK SENIOR HIGH,0016-01-045,2007,272,209,167,,72,26%,43%,
Spring Lake Park Public Schools,SPRING LAKE PARK SENIOR HIGH,0016-01-045,2008,273,228,172,,54,20%,31%,
Spring Lake Park Public Schools,SPRING LAKE PARK SENIOR HIGH,0016-01-045,2009,261,213,164,,47,18%,29%,
Spring Lake Park Public Schools,SPRING LAKE PARK SENIOR HIGH,0016-01-045,2010,266,227,179,,54,20%,30%,
Spring Lake Park Public Schools,SPRING LAKE PARK SENIOR HIGH,0016-01-045,2011,267,211,163,,56,21%,34%,
Spring Lake Park Public Schools,SPRING LAKE PARK SENIOR HIGH,0016-01-045,2012,271,227,185,,52,19%,28%,
Springfield Public School District,SPRINGFIELD SECONDARY,0085-01-001,2006,62,54,42,,12,19%,29%,
Springfield Public School District,SPRINGFIELD SECONDARY,0085-01-001,2007,45,41,28,,fewer than 10,,,
Springfield Public School District,SPRINGFIELD SECONDARY,0085-01-001,2008,52,49,41,,13,25%,32%,
Springfield Public School District,SPRINGFIELD SECONDARY,0085-01-001,2009,52,49,35,,14,27%,40%,
Springfield Public School District,SPRINGFIELD SECONDARY,0085-01-001,2010,48,43,28,,fewer than 10,,,
Springfield Public School District,SPRINGFIELD SECONDARY,0085-01-001,2011,58,50,27,,fewer than 10,,,
Springfield Public School District,SPRINGFIELD SECONDARY,0085-01-001,2012,41,36,21,,fewer than 10,,,
St Paul Conservatory Performing Art,ST PAUL CONSERVATORY PERFORMING ART,4112-07-010,2006,15,fewer than 10,fewer than 10,,fewer than 10,,,
St Paul Conservatory Performing Art,ST PAUL CONSERVATORY PERFORMING ART,4112-07-010,2007,44,40,28,,fewer than 10,,,
St Paul Conservatory Performing Art,ST PAUL CONSERVATORY PERFORMING ART,4112-07-010,2008,72,63,42,,fewer than 10,,,
St Paul Conservatory Performing Art,ST PAUL CONSERVATORY PERFORMING ART,4112-07-010,2009,89,68,42,,fewer than 10,,,
St Paul Conservatory Performing Art,ST PAUL CONSERVATORY PERFORMING ART,4112-07-010,2010,95,80,41,,fewer than 10,,,
St Paul Conservatory Performing Art,ST PAUL CONSERVATORY PERFORMING ART,4112-07-010,2011,86,73,41,,fewer than 10,,,
St Paul Conservatory Performing Art,ST PAUL CONSERVATORY PERFORMING ART,4112-07-010,2012,89,68,42,,fewer than 10,,,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE ALTERNATIVE,0282-01-010,2006,15,fewer than 10,fewer than 10,,fewer than 10,,,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE SENIOR HIGH,0282-01-020,2006,106,94,79,,13,12%,16%,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE SENIOR HIGH,0282-01-020,2007,133,117,103,,21,16%,20%,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE SENIOR HIGH,0282-01-020,2008,141,131,109,,23,16%,21%,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE SENIOR HIGH,0282-01-020,2009,139,119,99,,18,13%,18%,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE SENIOR HIGH,0282-01-020,2010,128,110,81,,15,12%,19%,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE SENIOR HIGH,0282-01-020,2011,150,128,92,,19,13%,21%,
St. Anthony-New Brighton Schools,ST. ANTHONY VILLAGE SENIOR HIGH,0282-01-020,2012,148,130,97,,15,10%,15%,
St. Charles Public School District,ST. CHARLES SECONDARY,0858-01-003,2006,77,64,51,,15,19%,29%,
St. Charles Public School District,ST. CHARLES SECONDARY,0858-01-003,2007,76,54,45,,17,22%,38%,
St. Charles Public School District,ST. CHARLES SECONDARY,0858-01-003,2008,67,54,40,,20,30%,50%,
St. Charles Public School District,ST. CHARLES SECONDARY,0858-01-003,2009,85,68,45,,17,20%,38%,
St. Charles Public School District,ST. CHARLES SECONDARY,0858-01-003,2010,58,49,29,,11,19%,38%,
St. Charles Public School District,ST. CHARLES SECONDARY,0858-01-003,2011,63,55,38,,15,24%,39%,
St. Charles Public School District,ST. CHARLES SECONDARY,0858-01-003,2012,70,61,42,,10,14%,24%,
St. Clair Public School District,ST. CLAIR SECONDARY,0075-01-020,2006,50,42,36,,fewer than 10,,,
St. Clair Public School District,ST. CLAIR SECONDARY,0075-01-020,2007,37,28,22,,fewer than 10,,,
St. Clair Public School District,ST. CLAIR SECONDARY,0075-01-020,2008,53,47,39,,10,19%,26%,
St. Clair Public School District,ST. CLAIR SECONDARY,0075-01-020,2009,41,38,31,,fewer than 10,,,
St. Clair Public School District,ST. CLAIR SECONDARY,0075-01-020,2010,40,35,26,,fewer than 10,,,
St. Clair Public School District,ST. CLAIR SECONDARY,0075-01-020,2011,42,38,27,,fewer than 10,,,
St. Clair Public School District,ST. CLAIR SECONDARY,0075-01-020,2012,33,26,18,,fewer than 10,,,
St. Cloud Public School District,APOLLO SENIOR HIGH,0742-01-057,2006,285,228,199,,38,13%,19%,
St. Cloud Public School District,APOLLO SENIOR HIGH,0742-01-057,2007,263,220,184,,49,19%,27%,
St. Cloud Public School District,APOLLO SENIOR HIGH,0742-01-057,2008,262,228,184,,44,17%,24%,
St. Cloud Public School District,APOLLO SENIOR HIGH,0742-01-057,2009,250,220,189,,64,26%,34%,
St. Cloud Public School District,APOLLO SENIOR HIGH,0742-01-057,2010,229,188,152,,34,15%,22%,
St. Cloud Public School District,APOLLO SENIOR HIGH,0742-01-057,2011,248,205,178,,53,21%,30%,
St. Cloud Public School District,APOLLO SENIOR HIGH,0742-01-057,2012,229,183,161,,33,14%,20%,
St. Cloud Public School District,ST CLOUD AREA LEARNING CENTER,0742-01-065,2006,119,45,39,,13,11%,33%,
St. Cloud Public School District,ST CLOUD AREA LEARNING CENTER,0742-01-065,2007,141,51,38,,12,9%,32%,
St. Cloud Public School District,ST CLOUD AREA LEARNING CENTER,0742-01-065,2008,137,67,52,,13,9%,25%,
St. Cloud Public School District,ST CLOUD AREA LEARNING CENTER,0742-01-065,2009,152,69,52,,18,12%,35%,
St. Cloud Public School District,ST CLOUD AREA LEARNING CENTER,0742-01-065,2010,144,72,49,,19,13%,39%,
St. Cloud Public School District,ST CLOUD AREA LEARNING CENTER,0742-01-065,2011,143,62,34,,19,13%,56%,
St. Cloud Public School District,ST CLOUD AREA LEARNING CENTER,0742-01-065,2012,109,36,27,,13,12%,48%,
St. Cloud Public School District,TECHNICAL SENIOR HIGH,0742-01-059,2006,303,253,198,,31,10%,16%,
St. Cloud Public School District,TECHNICAL SENIOR HIGH,0742-01-059,2007,324,276,213,,41,13%,19%,
St. Cloud Public School District,TECHNICAL SENIOR HIGH,0742-01-059,2008,322,286,232,,49,15%,21%,
St. Cloud Public School District,TECHNICAL SENIOR HIGH,0742-01-059,2009,312,267,221,,39,13%,18%,
St. Cloud Public School District,TECHNICAL SENIOR HIGH,0742-01-059,2010,299,257,219,,53,18%,24%,
St. Cloud Public School District,TECHNICAL SENIOR HIGH,0742-01-059,2011,288,252,202,,36,13%,18%,
St. Cloud Public School District,TECHNICAL SENIOR HIGH,0742-01-059,2012,279,227,191,,28,10%,15%,
St. Croix Preparatory Academy,ST. CROIX PREPARATORY ACADEMY UPPER,4120-07-030,2010,26,26,18,,fewer than 10,,,
St. Croix Preparatory Academy,ST. CROIX PREPARATORY ACADEMY UPPER,4120-07-030,2011,12,11,fewer than 10,,fewer than 10,,,
St. Croix Preparatory Academy,ST. CROIX PREPARATORY ACADEMY UPPER,4120-07-030,2012,22,18,fewer than 10,,fewer than 10,,,
St. Francis Public School District,ST. FRANCIS HIGH,0015-01-122,2006,359,272,231,,80,22%,35%,
St. Francis Public School District,ST. FRANCIS HIGH,0015-01-122,2007,355,275,243,,80,23%,33%,
St. Francis Public School District,ST. FRANCIS HIGH,0015-01-122,2008,404,320,267,,97,24%,36%,
St. Francis Public School District,ST. FRANCIS HIGH,0015-01-122,2009,351,272,233,,67,19%,29%,
St. Francis Public School District,ST. FRANCIS HIGH,0015-01-122,2010,387,311,261,,73,19%,28%,
St. Francis Public School District,ST. FRANCIS HIGH,0015-01-122,2011,358,267,214,,54,15%,25%,
St. Francis Public School District,ST. FRANCIS HIGH,0015-01-122,2012,362,275,234,,52,14%,22%,
St. James Public School District,ST. JAMES SECONDARY,0840-01-111,2006,83,61,41,,fewer than 10,,,
St. James Public School District,ST. JAMES SECONDARY,0840-01-111,2007,85,68,55,,16,19%,29%,
St. James Public School District,ST. JAMES SECONDARY,0840-01-111,2008,76,67,52,,12,16%,23%,
St. James Public School District,ST. JAMES SECONDARY,0840-01-111,2009,87,66,50,,12,14%,24%,
St. James Public School District,ST. JAMES SECONDARY,0840-01-111,2010,89,67,53,,18,20%,34%,
St. James Public School District,ST. JAMES SECONDARY,0840-01-111,2011,84,65,50,,16,19%,32%,
St. James Public School District,ST. JAMES SECONDARY,0840-01-111,2012,86,65,46,,12,14%,26%,
St. Louis County School District,ALBROOK SECONDARY,2142-01-017,2006,28,17,17,,fewer than 10,,,
St. Louis County School District,ALBROOK SECONDARY,2142-01-017,2007,30,13,13,,fewer than 10,,,
St. Louis County School District,ALBROOK SECONDARY,2142-01-017,2008,34,24,19,,fewer than 10,,,
St. Louis County School District,ALBROOK SECONDARY,2142-01-017,2009,24,16,13,,fewer than 10,,,
St. Louis County School District,ALBROOK SECONDARY,2142-01-017,2010,29,22,19,,fewer than 10,,,
St. Louis County School District,ALBROOK SECONDARY,2142-01-017,2011,38,28,22,,fewer than 10,,,
St. Louis County School District,CHERRY SECONDARY,2142-01-095,2006,29,21,17,,fewer than 10,,,
St. Louis County School District,CHERRY SECONDARY,2142-01-095,2007,31,21,16,,fewer than 10,,,
St. Louis County School District,CHERRY SECONDARY,2142-01-095,2008,38,27,24,,fewer than 10,,,
St. Louis County School District,CHERRY SECONDARY,2142-01-095,2009,26,21,17,,fewer than 10,,,
St. Louis County School District,CHERRY SECONDARY,2142-01-095,2010,23,20,17,,fewer than 10,,,
St. Louis County School District,CHERRY SECONDARY,2142-01-095,2011,25,15,14,,fewer than 10,,,
St. Louis County School District,CHERRY SECONDARY,2142-01-095,2012,27,18,17,,fewer than 10,,,
St. Louis County School District,COOK SECONDARY,2142-01-115,2006,32,25,24,,fewer than 10,,,
St. Louis County School District,COOK SECONDARY,2142-01-115,2007,38,31,28,,11,29%,39%,
St. Louis County School District,COOK SECONDARY,2142-01-115,2008,36,28,24,,fewer than 10,,,
St. Louis County School District,COOK SECONDARY,2142-01-115,2009,35,30,24,,10,29%,42%,
St. Louis County School District,COOK SECONDARY,2142-01-115,2010,24,18,17,,fewer than 10,,,
St. Louis County School District,COOK SECONDARY,2142-01-115,2011,27,19,18,,fewer than 10,,,
St. Louis County School District,COTTON SECONDARY,2142-01-101,2006,20,13,13,,fewer than 10,,,
St. Louis County School District,COTTON SECONDARY,2142-01-101,2007,20,14,14,,fewer than 10,,,
St. Louis County School District,COTTON SECONDARY,2142-01-101,2008,14,fewer than 10,fewer than 10,,fewer than 10,,,
St. Louis County School District,COTTON SECONDARY,2142-01-101,2009,14,11,11,,fewer than 10,,,
St. Louis County School District,COTTON SECONDARY,2142-01-101,2010,16,11,11,,fewer than 10,,,
St. Louis County School District,COTTON SECONDARY,2142-01-101,2011,15,11,11,,fewer than 10,,,
St. Louis County School District,NORTH WOODS SECONDARY,2142-01-055,2012,48,27,27,,18,38%,67%,
St. Louis County School District,NORTHEAST RANGE SECONDARY,2142-01-035,2006,24,20,20,,10,42%,50%,
St. Louis County School District,NORTHEAST RANGE SECONDARY,2142-01-035,2007,35,27,27,,fewer than 10,,,
St. Louis County School District,NORTHEAST RANGE SECONDARY,2142-01-035,2008,37,28,27,,14,38%,52%,
St. Louis County School District,NORTHEAST RANGE SECONDARY,2142-01-035,2009,44,36,33,,fewer than 10,,,
St. Louis County School District,NORTHEAST RANGE SECONDARY,2142-01-035,2010,37,31,27,,11,30%,41%,
St. Louis County School District,NORTHEAST RANGE SECONDARY,2142-01-035,2011,33,24,22,,fewer than 10,,,
St. Louis County School District,NORTHEAST RANGE SECONDARY,2142-01-035,2012,36,30,29,,12,33%,41%,
St. Louis County School District,ORR SECONDARY,2142-01-210,2006,27,16,16,,fewer than 10,,,
St. Louis County School District,ORR SECONDARY,2142-01-210,2007,15,11,11,,fewer than 10,,,
St. Louis County School District,ORR SECONDARY,2142-01-210,2008,11,fewer than 10,fewer than 10,,fewer than 10,,,
St. Louis County School District,ORR SECONDARY,2142-01-210,2009,20,15,15,,fewer than 10,,,
St. Louis County School District,ORR SECONDARY,2142-01-210,2010,28,18,18,,fewer than 10,,,
St. Louis County School District,ORR SECONDARY,2142-01-210,2011,21,18,18,,11,52%,61%,
St. Louis County School District,SOUTH RIDGE SECONDARY,2142-01-045,2012,38,24,24,,fewer than 10,,,
St. Louis County School District,TOWER-SOUDAN SECONDARY,2142-01-030,2006,28,20,20,,13,46%,65%,
St. Louis County School District,TOWER-SOUDAN SECONDARY,2142-01-030,2007,16,13,13,,fewer than 10,,,
St. Louis County School District,TOWER-SOUDAN SECONDARY,2142-01-030,2008,25,15,15,,fewer than 10,,,
St. Louis County School District,TOWER-SOUDAN SECONDARY,2142-01-030,2009,16,13,13,,fewer than 10,,,
St. Louis County School District,TOWER-SOUDAN SECONDARY,2142-01-030,2010,16,fewer than 10,fewer than 10,,fewer than 10,,,
St. Louis County School District,TOWER-SOUDAN SECONDARY,2142-01-030,2011,20,14,14,,fewer than 10,,,
St. Louis Park Public School Dist.,ST. LOUIS PARK SENIOR HIGH,0283-01-040,2006,227,196,111,,25,11%,23%,
St. Louis Park Public School Dist.,ST. LOUIS PARK SENIOR HIGH,0283-01-040,2007,279,241,146,,31,11%,21%,
St. Louis Park Public School Dist.,ST. LOUIS PARK SENIOR HIGH,0283-01-040,2008,237,216,137,,38,16%,28%,
St. Louis Park Public School Dist.,ST. LOUIS PARK SENIOR HIGH,0283-01-040,2009,229,204,134,,33,14%,25%,
St. Louis Park Public School Dist.,ST. LOUIS PARK SENIOR HIGH,0283-01-040,2010,253,226,129,,33,13%,26%,
St. Louis Park Public School Dist.,ST. LOUIS PARK SENIOR HIGH,0283-01-040,2011,240,217,141,,41,17%,29%,
St. Louis Park Public School Dist.,ST. LOUIS PARK SENIOR HIGH,0283-01-040,2012,277,239,134,,25,9%,19%,
St. Michael-Albertville School Dist,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,0885-01-020,2006,225,177,138,,40,18%,29%,
St. Michael-Albertville School Dist,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,0885-01-020,2007,256,202,156,,48,19%,31%,
St. Michael-Albertville School Dist,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,0885-01-020,2008,245,199,148,,50,20%,34%,
St. Michael-Albertville School Dist,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,0885-01-020,2009,290,251,186,,58,20%,31%,
St. Michael-Albertville School Dist,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,0885-01-020,2010,274,228,176,,46,17%,26%,
St. Michael-Albertville School Dist,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,0885-01-020,2011,292,262,197,,48,16%,24%,
St. Michael-Albertville School Dist,ST. MICHAEL-ALBERTVILLE SENIOR HIGH,0885-01-020,2012,285,228,161,,21,7%,13%,
St. Paul Public School District,A. G. A. P. E. TEEN PARENT,0625-01-006,2006,24,16,15,,11,46%,73%,
St. Paul Public School District,A. G. A. P. E. TEEN PARENT,0625-01-006,2007,33,20,18,,15,45%,83%,
St. Paul Public School District,A. G. A. P. E. TEEN PARENT,0625-01-006,2008,30,15,12,,fewer than 10,,,
St. Paul Public School District,A. G. A. P. E. TEEN PARENT,0625-01-006,2009,36,26,22,,11,31%,50%,
St. Paul Public School District,A. G. A. P. E. TEEN PARENT,0625-01-006,2010,38,22,21,,13,34%,62%,
St. Paul Public School District,A. G. A. P. E. TEEN PARENT,0625-01-006,2011,34,24,19,,13,38%,68%,
St. Paul Public School District,A. G. A. P. E. TEEN PARENT,0625-01-006,2012,37,20,17,,12,32%,71%,
St. Paul Public School District,ALC CREATIVE ARTS SCHOOL,0625-01-719,2006,38,24,22,,fewer than 10,,,
St. Paul Public School District,ALC CREATIVE ARTS SCHOOL,0625-01-719,2007,33,19,16,,fewer than 10,,,
St. Paul Public School District,ALC CREATIVE ARTS SCHOOL,0625-01-719,2008,24,16,fewer than 10,,fewer than 10,,,
St. Paul Public School District,ALC CREATIVE ARTS SCHOOL,0625-01-719,2009,24,14,fewer than 10,,fewer than 10,,,
St. Paul Public School District,ALC CREATIVE ARTS SCHOOL,0625-01-719,2010,26,20,13,,fewer than 10,,,
St. Paul Public School District,ALC CREATIVE ARTS SCHOOL,0625-01-719,2011,25,19,16,,fewer than 10,,,
St. Paul Public School District,AREA LEARNING CNTR COMMUNITY SCHOOL,0625-01-715,2006,35,18,13,,fewer than 10,,,
St. Paul Public School District,AREA LEARNING CNTR COMMUNITY SCHOOL,0625-01-715,2007,51,15,13,,fewer than 10,,,
St. Paul Public School District,AREA LEARNING CNTR COMMUNITY SCHOOL,0625-01-715,2008,30,10,fewer than 10,,fewer than 10,,,
St. Paul Public School District,AREA LEARNING CNTR COMMUNITY SCHOOL,0625-01-715,2009,30,fewer than 10,fewer than 10,,fewer than 10,,,
St. Paul Public School District,ARLINGTON SENIOR HIGH,0625-01-240,2006,297,210,170,,85,29%,50%,
St. Paul Public School District,ARLINGTON SENIOR HIGH,0625-01-240,2007,257,185,156,,76,30%,49%,
St. Paul Public School District,ARLINGTON SENIOR HIGH,0625-01-240,2008,262,195,168,,90,34%,54%,
